Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-8734	G7240	[yfdY 2,495,050 &larr; 2,495,292]	243	-
TU0-42504	EG11432 // EG11431	[yfeCD 2,518,467 &rarr; 2,519,205]	739	+
TU0-8735	EG12376	[yfeH 2,526,946 &rarr; 2,527,944]	999	+
TU-8383	G7261 // G7260	[yfeKS 2,537,342 &rarr; 2,538,483]	1142	+
TU0-8736	G7256	[yfeN 2,525,127 &rarr; 2,525,891]	765	+
TU0-13615	G7251	[TU0-13615 2,509,630 &rarr; 2,510,886]	1257	+
TU0-8737	G7257	[yfeR 2,525,930 &larr; 2,526,856]	927	-
TU0-3484	G7266 // G7267	[yfeYX 2,549,646 &larr; 2,551,216]	1571	-
TU0-13642	EG10208 // G0-10463 // EG11147	[yffB-dapE-ypfN 2,591,247 &rarr; 2,592,962]	1716	+
TU0-13629	G7273	[TU0-13629 2,560,257 &rarr; 2,560,898]	642	+
TU0-13630	G7274 // G7275	[TU0-13630 2,561,368 &rarr; 2,561,993]	626	+
TU0-42449	G7277 // G7276	[yffO-yffP 2,562,111 &rarr; 2,563,117]	1007	+
TU0-13632	G7279 // G7278	[TU0-13632 2,563,592 &rarr; 2,564,372]	781	+
TU0-13633	G7280	[TU0-13633 2,564,523 &rarr; 2,565,332]	810	+
TU0-14347	EG10015	[yfgA 2,641,831 &larr; 2,642,844]	1014	-
TU0-8738	G7314	[yfgF 2,626,695 &larr; 2,628,938]	2244	-
TU0-13647	G7315	[yfgG 2,629,290 &rarr; 2,629,481]	192	+
TU0-13648	G7316 // G7317	[TU0-13648 2,629,792 &rarr; 2,630,865]	1074	+
TU0-13649	G7318	[TU0-13649 2,635,599 &larr; 2,635,814]	216	-
TU0-14647	G7321	[yfgM 2,638,663 &larr; 2,639,283]	621	-
TU0-14648	G7321	[yfGM 2,638,663 &larr; 2,639,283]	621	-
TU0-14646	G7321	[yfgM 2,638,663 &larr; 2,639,283]	621	-
TU0-8739	G7310	[yfgO 2,614,820 &larr; 2,615,881]	1062	-
TU0-14321	EG11285	[yfhA 2,687,469 &larr; 2,688,803]	1335	-
TU0-14320	EG12139	[yfhG 2,688,793 &larr; 2,689,506]	714	-
TU0-13668	EG12308	[TU0-13668 2,698,759 &rarr; 2,699,607]	849	+
TU0-13669	G7346	[yfhL 2,699,663 &rarr; 2,699,923]	261	+
TU0-13652	G7323 // G7322	[yfhM-pbpC 2,645,013 &larr; 2,652,287]	7275	-
TU0-13659	G7328	[TU0-13659 2,664,390 &rarr; 2,665,244]	855	+
TU0-8740	EG11538	[yfiC 2,712,027 &larr; 2,712,764]	738	-
TU0-8741	EG11785	[yfiE 2,714,439 &larr; 2,715,320]	882	-
TU0-8742	EG11786	[yfiF 2,717,491 &larr; 2,718,528]	1038	-
TU0-8743	EG12445	[yfiK 2,715,423 &rarr; 2,716,010]	588	+
TU0-13678	EG12446	[TU0-13678 2,741,360 &rarr; 2,741,725]	366	+
TU0-13673	EG12857	[TU0-13673 2,724,128 &rarr; 2,724,451]	324	+
TU0-13679	EG12880 // G7354 // EG11152	[yfiR-dgcN-yfiB 2,741,875 &rarr; 2,744,107]	2233	+
TU0-14765	EG12880 // G7354	[yfiRN 2,741,875 &rarr; 2,743,609]	1735	+
TU0-13682	EG12442	[TU0-13682 2,748,774 &rarr; 2,750,060]	1287	+
TU0-8744	G7359	[yfjH 2,757,644 &larr; 2,758,600]	957	-
TU0-13690	G7360	[TU0-13690 2,758,985 &rarr; 2,760,394]	1410	+
TU0-13691	G7361	[TU0-13691 2,760,547 &rarr; 2,761,173]	627	+
TU0-13693	G7364	[TU0-13693 2,765,513 &larr; 2,765,776]	264	-
TU0-13694	G7368 // G7367	[TU0-13694 2,767,710 &rarr; 2,769,486]	1777	+
TU0-13695	G7372 // G7370 // G7369 // G7371	[TU0-13695 2,769,703 &rarr; 2,771,615]	1913	+
TU0-13696	G7373	[TU0-13696 2,771,840 &larr; 2,772,154]	315	-
TU0-13697	G7376	[yfjV 2,772,167 &larr; 2,773,182]	1016	-
TU0-13698	G7377	[TU0-13698 2,773,318 &rarr; 2,775,021]	1704	+
TU0-13699	G7381 // G7380 // G7379 // G7378 // G0-10464	[TU0-13699 2,775,919 &rarr; 2,777,782]	1864	+
TU0-3403	EG12201	[ygaC 2,799,650 &larr; 2,799,994]	345	-
TU0-13711	G7400	[ygaM 2,800,146 &rarr; 2,800,475]	330	+
TU0-13705	G7389	[TU0-13705 2,786,397 &rarr; 2,788,649]	2253	+
TU0-13710	G7397 // G7398	[TU0-13710 2,797,211 &rarr; 2,798,044]	834	+
TU0-13712	G7403	[TU0-13712 2,808,316 &rarr; 2,809,493]	1178	+
TU0-13713	G7406 // G7405	[TU0-13713 2,809,617 &rarr; 2,810,679]	1063	+
TU-8443	EG11287	[ygbA 2,856,453 &larr; 2,856,806]	354	-
TU0-13724	EG12707	[TU0-13724 2,873,014 &larr; 2,873,337]	324	-
TU0-14469	EG12845	[ygbF 2,878,569 &larr; 2,878,853]	285	-
TU0-8746	G7416	[ygbI 2,860,467 &larr; 2,861,234]	768	-
TU0-13721	G7417 // G7418	[TU0-13721 2,861,430 &rarr; 2,863,501]	2072	+
TU0-14275	G7418	[ygbK 2,862,335 &rarr; 2,863,501]	1167	+
TU0-13722	G7420 // G7419	[TU0-13722 2,863,593 &rarr; 2,865,012]	1420	+
TU0-13723	G7421	[TU0-13723 2,865,101 &rarr; 2,866,465]	1365	+
TU0-8338	G7444	[ygcG 2,905,711 &rarr; 2,906,583]	873	+
TU0-13728	G7434 // G7433 // G7432	[TU0-13728 2,892,657 &rarr; 2,894,771]	2115	+
TU0-13729	G7435 // G7436	[TU0-13729 2,894,919 &larr; 2,896,555]	1637	-
TU0-13730	G7437	[TU0-13730 2,896,533 &larr; 2,897,870]	1338	-
TU0-13731	G7439	[TU0-13731 2,897,964 &larr; 2,899,418]	1455	-
TU0-13732	G7440	[TU0-13732 2,899,488 &larr; 2,900,273]	786	-
TU0-14307	EG11793	[ygdD 2,941,236 &larr; 2,941,631]	396	-
TU0-13740	EG12372	[TU0-13740 2,931,055 &rarr; 2,931,810]	756	+
TU0-8747	G7453	[ygdI 2,942,918 &larr; 2,943,145]	228	-
TU0-13748	G7460	[TU0-13748 2,970,420 &rarr; 2,971,133]	714	+
TU0-13749	G7461	[TU0-13749 2,971,271 &rarr; 2,971,489]	219	+
TU0-13754	EG11157	[TU0-13754 2,979,943 &larr; 2,980,635]	693	-
TU0-13761	G7470	[TU0-13761 2,990,554 &rarr; 2,991,043]	490	+
TU0-13762	G7471	[TU0-13762 2,991,268 &rarr; 2,991,759]	492	+
TU0-13763	G7472	[ygeH 2,992,094 &rarr; 2,993,470]	1377	+
TU0-13764	G7473	[TU0-13764 2,993,638 &rarr; 2,993,856]	219	+
TU0-13766	G7475 // G7476	[TU0-13766 2,994,460 &larr; 2,995,092]	633	-
TU0-13768	G7482	[TU0-13768 2,997,689 &larr; 2,997,988]	300	-
TU0-13769	G7483	[TU0-13769 2,998,034 &larr; 2,998,828]	795	-
TU0-13771	G7484	[TU0-13771 2,999,136 &larr; 2,999,891]	756	-
TU0-8748	G7488	[ygeV 3,004,008 &larr; 3,005,786]	1779	-
TU0-13773	G7489	[TU0-13773 3,006,262 &rarr; 3,007,452]	1191	+
TU0-13774	G7490	[TU0-13774 3,007,510 &rarr; 3,008,706]	1197	+
TU0-13775	G7491	[TU0-13775 3,008,764 &rarr; 3,009,975]	1212	+
TU0-13792	EG10697 // EG11324 // EG11323 // EG11333	[ygfB-pepP-ubiHI 3,051,115 &larr; 3,055,444]	4330	-
TU0-13791	G7514	[TU0-13791 3,045,158 &larr; 3,045,901]	744	-
TU0-13798	G7518	[TU0-13798 3,066,277 &larr; 3,067,173]	897	-
TU0-13781	G7498 // G7497	[ygfK-ssnA 3,016,060 &rarr; 3,020,489]	4430	+
TU0-13782	G7500 // G7499	[TU0-13782 3,020,540 &rarr; 3,024,186]	3647	+
TU0-13784	G7506 // G7505	[TU0-13784 3,028,524 &larr; 3,030,931]	2408	-
TU0-8749	G7511	[ygfZ 3,041,313 &rarr; 3,042,293]	981	+
TU0-14493	EG11162 // EG11161	[yggDC 3,073,976 &larr; 3,075,195]	1220	-
TU0-8203	EG11244	[yggE 3,067,340 &larr; 3,068,080]	741	-
TU0-8202	EG11244	[yggE 3,067,340 &larr; 3,068,080]	741	-
TU0-14235	EG11291	[yggG 3,081,913 &rarr; 3,082,671]	759	+
TU0-13804	EG12122	[TU0-13804 3,089,755 &rarr; 3,090,252]	498	+
TU0-13808	EG12704	[TU0-13808 3,098,558 &larr; 3,099,565]	1008	-
TU0-4189	EG12705	[yggN 3,100,904 &larr; 3,101,623]	720	-
TU0-4191	EG12705	[yggN 3,100,904 &larr; 3,101,623]	720	-
TU0-4	EG12705	[yggN 3,100,904 &larr; 3,101,623]	720	-
TU0-8750	G7526	[yggR 3,094,100 &larr; 3,095,080]	981	-
TU0-13807	G7529 // G7530 // G7531 // G7528 // G7527	[TU0-13807 3,095,098 &rarr; 3,098,403]	3306	+
TU0-5569	G7532	[yggX 3,104,093 &rarr; 3,104,368]	276	+
TU0-5581	G7533 // G7532	[yggX-mltC 3,104,093 &rarr; 3,105,512]	1420	+
TU0-5564	EG10664 // G7533 // G7532	[yggX-mltC-nupG 3,104,093 &rarr; 3,106,970]	2878	+
TU0-14232	EG11292	[TU0-14232 3,149,662 &rarr; 3,150,546]	885	+
TU0-13822	EG11824	[yghB 3,153,563 &rarr; 3,154,222]	660	+
TU0-13811	G7535 // G7536	[TU0-13811 3,110,590 &larr; 3,111,988]	1399	-
TU0-4242	G7537	[yghF 3,112,054 &larr; 3,113,049]	996	-
TU0-13813	G7538	[TU0-13813 3,113,067 &larr; 3,113,477]	411	-
TU0-13815	G7541	[TU0-13815 3,114,550 &larr; 3,119,112]	4563	-
TU0-14233	G7547	[TU0-14233 3,129,043 &larr; 3,130,215]	1173	-
TU0-13816	G7549	[TU0-13816 3,131,341 &larr; 3,132,408]	1068	-
TU0-13817	G7551 // G7550	[TU0-13817 3,132,454 &larr; 3,133,957]	1504	-
TU0-8752	G7552	[yghT 3,134,131 &rarr; 3,134,823]	693	+
TU0-8753	G7553	[yghU 3,138,727 &rarr; 3,139,593]	867	+
TU0-13820	G7555	[TU0-13820 3,146,450 &larr; 3,146,737]	288	-
TU0-13821	G7557	[TU0-13821 3,146,856 &larr; 3,147,691]	836	-
TU0-8754	G7558	[yghZ 3,147,897 &rarr; 3,148,937]	1041	+
TU0-8755	EG11166	[ygiD 3,181,619 &larr; 3,182,434]	816	-
TU0-13847	EG11603 // EG11602	[TU0-13847 3,196,801 &larr; 3,200,965]	4165	-
TU0-8756	EG11674	[ygiH 3,204,694 &rarr; 3,205,311]	618	+
TU0-13842	EG12363	[TU0-13842 3,185,414 &rarr; 3,185,965]	552	+
TU0-13836	EG12657	[TU0-13836 3,173,142 &rarr; 3,173,456]	315	+
TU0-13827	G7568	[TU0-13827 3,158,927 &larr; 3,161,146]	2220	-
TU0-13831	G7570	[TU0-13831 3,166,111 &larr; 3,167,718]	1608	-
TU0-13833	G7573	[TU0-13833 3,168,749 &larr; 3,169,231]	483	-
TU0-13834	G7574	[TU0-13834 3,169,284 &larr; 3,169,676]	393	-
TU0-8758	G7577	[ygiZ 3,171,879 &larr; 3,172,211]	333	-
TU0-8572	G7597	[ygjH 3,220,915 &larr; 3,221,247]	333	-
TU0-13851	EG12720	[TU0-13851 3,226,234 &rarr; 3,227,667]	1434	+
TU0-13852	G7598 // G7599	[TU0-13852 3,227,801 &rarr; 3,231,239]	3439	+
TU0-13856	G7604	[TU0-13856 3,235,960 &rarr; 3,236,463]	504	+
TU0-13857	G7605	[TU0-13857 3,236,540 &rarr; 3,237,232]	693	+
TU0-13858	G7606	[ygjR 3,237,311 &rarr; 3,238,297]	987	+
TU0-13861	G7608	[TU0-13861 3,241,193 &larr; 3,241,744]	552	-
TU0-13871	EG11174 // EG11173	[TU0-13871 3,267,854 &rarr; 3,269,602]	1749	+
TU0-13866	G7617	[TU0-13866 3,252,304 &rarr; 3,252,669]	366	+
TU0-13867	G7618	[TU0-13867 3,252,911 &rarr; 3,253,267]	357	+
TU0-8573	G7619	[yhaJ 3,253,318 &larr; 3,254,214]	897	-
TU0-13868	G7620 // G7621	[TU0-13868 3,254,319 &rarr; 3,255,207]	889	+
TU0-13884	EG11499 // G7656	[TU0-13884 3,330,582 &larr; 3,332,735]	2154	-
TU0-8574	G7647	[yhbO 3,298,974 &rarr; 3,299,492]	519	+
TU0-8575	G7648	[yhbP 3,299,472 &larr; 3,299,915]	444	-
TU0-8576	G7649	[yhbQ 3,299,966 &rarr; 3,300,268]	303	+
TU0-13879	G7654	[TU0-13879 3,303,448 &rarr; 3,304,455]	1008	+
TU0-13882	G7655	[TU0-13882 3,319,988 &larr; 3,321,613]	1626	-
TU0-8577	EG12794	[yhbY 3,327,790 &rarr; 3,328,083]	294	+
TU0-13892	EG11515 // G7671 // G7670			+
TU0-13897	G7681	[yhcB 3,380,191 &rarr; 3,380,589]	399	+
TU0-13891	G7669	[TU0-13891 3,353,121 &larr; 3,354,050]	930	-
TU0-13893	G7673	[TU0-13893 3,366,926 &rarr; 3,367,642]	717	+
TU0-13894	G7674	[TU0-13894 3,367,827 &rarr; 3,368,954]	1128	+
TU0-13899	G7683	[TU0-13899 3,385,538 &rarr; 3,385,801]	264	+
TU0-13900	G7684	[TU0-13900 3,385,857 &larr; 3,386,129]	273	-
TU0-8578	EG11315	[yhdH 3,403,484 &rarr; 3,404,458]	975	+
TU0-13905	EG11498	[TU0-13905 3,411,653 &rarr; 3,412,537]	885	+
TU0-13911	EG11970 // EG11969	[yhdN-zntR 3,438,705 &larr; 3,439,509]	805	-
TU0-13903	G7690	[TU0-13903 3,392,458 &larr; 3,396,258]	3801	-
TU00314	EG11497 // EG10685 // G7693	[yhdT-panF-prmA 3,407,375 &rarr; 3,409,951]	2577	+
TU0-13906	G7694	[TU0-13906 3,412,621 &rarr; 3,412,800]	180	+
TU0-13907	G7695	[TU0-13907 3,418,390 &rarr; 3,418,611]	222	+
TU0-3622	EG12834 // EG12837 // EG12836 // EG12835	[yhdWXYZ 3,419,042 &rarr; 3,423,194]	4153	+
TU0-14661	G7713 // G7712 // G7714 // G7715	[yheO-tusDCB 3,474,678 &larr; 3,476,440]	1763	-
TU0-13915	G7713 // G7712 // G7714 // G7715	[yheO-tusDCB 3,474,678 &larr; 3,476,440]	1763	-
TU0-13919	EG12903 // G7719 // G7718	[TU0-13919 3,481,289 &rarr; 3,484,436]	3148	+
TU00478	EG11182	[yhfA 3,485,414 &larr; 3,485,818]	405	-
TU0-6885	EG12374 // EG10682 // EG10307	[yhfG-fic-pabA 3,490,266 &larr; 3,491,620]	1355	-
TU0-14308	G7721	[yhfK 3,486,791 &rarr; 3,488,893]	2103	+
TU0-13923	G7722	[TU0-13923 3,499,448 &rarr; 3,499,615]	168	+
TU0-13924	G7732 // G7731 // G7729 // G7730 // G7728 // G7733	[TU0-13924 3,504,935 &larr; 3,510,976]	6042	-
TU0-13925	G7734 // G7735	[TU0-13925 3,511,060 &larr; 3,512,344]	1285	-
TU0-8579	G7745	[yhgE 3,530,715 &larr; 3,532,439]	1725	-
TU0-13932	G7746	[TU0-13932 3,537,385 &rarr; 3,539,706]	2322	+
TU0-8580	G7753	[yhgN 3,575,071 &rarr; 3,575,664]	594	+
TU0-8582	EG11184	[yhhA 3,586,943 &rarr; 3,587,383]	441	+
TU0-13949	EG11520	[TU0-13949 3,623,399 &rarr; 3,623,782]	384	+
TU0-13951	EG11525	[TU0-13951 3,624,378 &rarr; 3,625,514]	1137	+
TU0-8584	EG12213	[yhhM 3,605,251 &larr; 3,605,610]	360	-
TU0-13943	EG12214	[TU0-13943 3,605,751 &rarr; 3,606,377]	627	+
TU0-13944	EG12217	[TU0-13944 3,609,217 &rarr; 3,609,882]	666	+
TU0-8585	EG12219	[yhhS 3,610,516 &larr; 3,611,733]	1218	-
TU0-13946	EG12220	[TU0-13946 3,611,865 &rarr; 3,612,914]	1050	+
TU0-13936	G7756	[TU0-13936 3,578,950 &larr; 3,579,645]	696	-
TU0-13937	G7757	[TU0-13937 3,579,768 &larr; 3,580,805]	1038	-
TU0-7662	G7758	[yhhY 3,581,138 &rarr; 3,581,626]	489	+
TU0-13940	G7759 // G7762 // G7761 // G7760 // G0-10540			+
TU0-13962	EG11400	[TU0-13962 3,655,255 &larr; 3,655,902]	648	-
TU0-13952	EG12224 // EG12223 // EG11767	[TU0-13952 3,625,679 &larr; 3,630,602]	4924	-
TU0-13953	EG12225	[TU0-13953 3,630,968 &larr; 3,632,590]	1623	-
TU0-13955	EG12227	[yhiL 3,632,852 &larr; 3,634,458]	1607	-
TU0-8586	EG12228	[yhiM 3,634,841 &rarr; 3,635,893]	1053	+
TU0-8587	EG12229	[yhiN 3,636,208 &larr; 3,637,410]	1203	-
TU0-13960	EG12238	[TU0-13960 NIL &rarr; NIL]		+
TU0-13965	EG12244	[yhjA 3,667,791 &larr; 3,669,188]	1398	-
TU0-8588	EG12246	[yhjB 3,671,292 &larr; 3,671,894]	603	-
TU0-13966	EG12247	[yhjC 3,672,414 &rarr; 3,673,313]	900	+
TU0-13967	EG12248	[TU0-13967 3,673,362 &rarr; 3,674,375]	1014	+
TU0-13968	EG12249	[TU0-13968 3,674,786 &rarr; 3,676,108]	1323	+
TU0-13969	EG12251	[yhjG 3,676,290 &larr; 3,678,350]	2061	-
TU0-1549	EG12252	[yhjH 3,678,420 &larr; 3,679,187]	768	-
TU-8417	EG12254	[yhjJ 3,680,444 &larr; 3,681,940]	1497	-
TU0-14316	EG12262	[yhjR 3,695,997 &larr; 3,696,185]	189	-
TU0-13974	EG12266	[TU0-13974 3,700,563 &rarr; 3,701,834]	1272	+
TU0-42492	EG12268	[yhjX 3,710,799 &larr; 3,712,007]	1209	-
TU0-13977	EG12269	[TU0-13977 3,712,236 &larr; 3,712,934]	699	-
TU0-13982	EG11186	[yiaA 3,726,924 &larr; 3,727,361]	438	-
TU0-13983	EG11267	[TU0-13983 3,727,407 &larr; 3,727,748]	342	-
TU0-13979	EG12271	[TU0-13979 3,716,547 &rarr; 3,717,206]	660	+
TU0-8589	EG12273	[yiaF 3,718,334 &larr; 3,719,044]	711	-
TU0-8145	EG12624	[yiaG 3,719,478 &rarr; 3,719,768]	291	+
TU368	EG12278	[yiaJ 3,741,684 &larr; 3,742,532]	849	-
TU0-14454	EG12286 // EG12284 // EG12279 // EG12287 // EG12281 // EG12283 // EG12282 // EG12280 // EG12285	[yiaKLMNO-lyx-sgbHUE 3,742,733 &rarr; 3,750,781]	8049	+
TU592	EG12286 // EG12284 // EG12279 // EG12287 // EG12281 // EG12283 // EG12282 // EG12280 // EG12285	[yiaKLMNO-lyx-sgbHUE 3,742,733 &rarr; 3,750,781]	8049	+
TU0-8591	EG12288	[yiaT 3,751,128 &larr; 3,751,868]	741	-
TU0-8592	EG12289	[yiaU 3,751,992 &rarr; 3,752,966]	975	+
TU0-13986	EG12291 // EG12290	[TU0-13986 3,752,963 &larr; 3,754,428]	1466	-
TU0-13987	EG12293	[TU0-13987 3,756,676 &larr; 3,757,827]	1152	-
TU0-14555	EG11187	[yibA 3,766,337 &rarr; 3,767,179]	843	+
TU0-42498	EG11266	[yibD 3,789,047 &larr; 3,790,081]	1035	-
TU0-13999	EG11266	[yibD 3,789,047 &larr; 3,790,081]	1035	-
TU0-13988	EG11762	[yibF 3,761,347 &larr; 3,761,955]	609	-
TU0-13991	EG11763	[TU0-13991 3,768,177 &rarr; 3,768,638]	462	+
TU0-13992	EG11764 // EG11765	[TU0-13992 3,770,243 &larr; 3,771,744]	1502	-
TU0-13990	EG11766	[TU0-13990 3,767,221 &rarr; 3,767,922]	702	+
TU0-13993	EG11964	[TU0-13993 3,776,665 &rarr; 3,777,027]	363	+
TU0-13997	EG12295	[TU0-13997 3,784,584 &larr; 3,785,015]	432	-
TU0-42596	EG20091 // EG10937 // EG12295 // EG12294	[yibN-grxC-secB-gpsA 3,782,642 &larr; 3,785,015]	2374	-
TU0-8593	G0-10468	[yibT 3,776,171 &larr; 3,776,380]	210	-
TU0-14001	EG11192	[yicC 3,816,676 &rarr; 3,817,539]	864	+
TU0-14003	EG11683	[TU0-14003 3,818,874 &rarr; 3,819,491]	618	+
TU0-14006	EG11684	[yicH 3,830,457 &rarr; 3,832,166]	1710	+
TU-8434	EG11685 // EG11686	[yicJI 3,832,219 &larr; 3,835,929]	3711	-
TU0-14009	EG11688	[TU0-14009 3,838,248 &rarr; 3,839,171]	924	+
TU0-14011	EG11690	[TU0-14011 3,841,950 &larr; 3,842,402]	453	-
TU0-5601	EG10891 // EG10886 // EG11312	[yicR-rpmBG 3,811,250 &larr; 3,812,559]	1310	-
TU0-5522	EG10329 // EG10891 // EG10886 // EG11312	[yicR-rpmBG-mutM 3,810,343 &larr; 3,812,559]	2217	-
TU0-8594	G0-10469	[yicS 3,840,215 &rarr; 3,840,508]	294	+
TU0-14019	EG11195	[TU0-14019 3,876,140 &larr; 3,876,952]	813	-
TU0-14020	EG11196	[TU0-14020 3,877,067 &larr; 3,877,465]	399	-
TU0-14017	EG11536	[TU0-14017 3,864,612 &larr; 3,866,273]	1662	-
TU0-14014	EG11696 // EG11695 // EG11694	[TU0-14014 3,855,114 &larr; 3,856,307]	1194	-
TU0-8595	EG11697	[yidI 3,856,415 &rarr; 3,856,864]	450	+
TU0-14015	EG11705 // EG11706	[TU0-14015 3,856,911 &larr; 3,860,116]	3206	-
TU0-8596	EG11707	[yidL 3,860,283 &rarr; 3,861,176]	894	+
TU0-8597	EG11711	[yidP 3,863,899 &rarr; 3,864,615]	717	+
TU0-6003	EG11712	[yidQ 3,867,728 &rarr; 3,868,060]	333	+
TU0-8598	EG11713	[yidR 3,868,062 &larr; 3,869,309]	1248	-
TU0-8600	EG11719	[yidX 3,875,438 &rarr; 3,876,094]	657	+
TU0-14023	EG11721	[TU0-14023 3,892,765 &rarr; 3,893,724]	960	+
TU-8419	EG11722 // EG11723	[yieEF 3,893,881 &rarr; 3,895,218]	1338	+
TU0-8601	EG11724	[yieG 3,895,272 &larr; 3,896,609]	1338	-
TU0-14025	EG11725	[TU0-14025 3,896,774 &rarr; 3,897,439]	666	+
TU0-14033	EG11733 // EG11732	[TU0-14033 3,939,185 &larr; 3,941,327]	2143	-
TU0-8602	EG11260	[yifB 3,948,449 &larr; 3,949,969]	1521	-
TU0-8603	EG11450	[yifE 3,948,086 &rarr; 3,948,424]	339	+
TU0-14040	EG11459	[TU0-14040 3,980,887 &rarr; 3,982,272]	1386	+
TU0-14042	EG11201 // EG11069 // EG10209 // EG11202 // G0-10471	[yifL-dapF-yigA-xerC-yigB 3,994,522 &rarr; 3,997,899]	3378	+
TU0-14035	G7798	[TU0-14035 3,960,012 &larr; 3,960,460]	449	-
TU0-8605	EG11462	[yigE 4,000,292 &larr; 4,001,056]	765	-
TU0-14043	EG11465 // EG11464	[TU0-14043 4,002,419 &larr; 4,003,193]	775	-
TU0-14045	EG11467	[yigI 4,004,230 &larr; 4,004,697]	468	-
TU0-8606	EG11203	[yihA 4,050,133 &larr; 4,050,765]	633	-
TU0-14057	EG11830	[yihD 4,042,069 &rarr; 4,042,338]	270	+
TU0-14058	EG11832	[TU0-14058 4,044,199 &rarr; 4,045,629]	1431	+
TU0-1402	EG11833	[yihG 4,045,670 &larr; 4,046,602]	933	-
TU0-14060	EG11835	[yihI 4,051,347 &rarr; 4,051,856]	510	+
TU0-14062	EG11839 // EG11838	[TU0-14062 4,060,447 &rarr; 4,062,145]	1699	+
TU0-14063	EG11840	[TU0-14063 4,062,247 &rarr; 4,063,512]	1266	+
TU0-14065	EG11842 // EG11841	[TU0-14065 4,064,363 &larr; 4,067,194]	2832	-
TU0-14066	EG11843	[TU0-14066 4,067,240 &larr; 4,069,276]	2037	-
TU0-14067	EG11844	[TU0-14067 4,069,475 &larr; 4,070,401]	927	-
TU0-42689	EG11845 // EG11847 // EG11846	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
TU0-42690	EG11845 // EG11847 // EG11846	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
TU0-42686	EG11845 // EG11847 // EG11846	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
TU0-14068	EG11845 // EG11847 // EG11846	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
TU0-42688	EG11845 // EG11847 // EG11846	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
TU0-14069	EG11849 // EG11848	[yihV-csqR 4,073,739 &rarr; 4,075,454]	1716	+
TU0-42682	EG11849	[yihW 4,074,669 &rarr; 4,075,454]	786	+
TU0-14070	EG11852 // EG11853 // EG11850 // EG11851	[yihXY-dtd-fabY 4,075,553 &rarr; 4,078,438]	2886	+
TU0-14071	EG11854	[TU0-14071 4,079,291 &rarr; 4,079,509]	219	+
TU0-14072	EG11855	[TU0-14072 4,079,751 &rarr; 4,079,969]	219	+
TU0-14074	EG11860	[TU0-14074 4,087,002 &rarr; 4,088,057]	1056	+
TU0-14077	EG11870	[TU0-14077 4,102,822 &rarr; 4,103,496]	675	+
TU0-14081	EG11874	[TU0-14081 4,111,615 &larr; 4,112,214]	600	-
TU0-14082	EG11875	[TU0-14082 4,112,315 &rarr; 4,112,755]	441	+
TU0-3465	EG11877 // EG11876	[yiiS-uspD 4,112,967 &rarr; 4,113,721]	755	+
TU0-8607	EG11878	[yiiU 4,118,515 &rarr; 4,118,760]	246	+
TU0-14088	EG11882	[TU0-14088 4,127,286 &larr; 4,127,894]	609	-
TU0-14089	EG11902	[TU0-14089 4,136,108 &rarr; 4,137,013]	906	+
TU0-14090	EG11903	[TU0-14090 4,137,040 &larr; 4,137,657]	618	-
TU0-14093	EG11913	[TU0-14093 4,147,466 &larr; 4,148,317]	852	-
TU0-14105	EG11206	[TU0-14105 4,213,234 &rarr; 4,213,617]	384	+
TU0-5062	EG11207	[yjaB 4,213,680 &larr; 4,214,123]	444	-
TU0-14104	EG11916	[TU0-14104 4,199,504 &rarr; 4,200,094]	591	+
TU0-14324	EG11917	[yjaH 4,200,566 &rarr; 4,201,261]	696	+
TU00399	EG11429	[yjaZ 4,189,786 &rarr; 4,190,325]	540	+
TU0-14107	EG11919	[yjbB 4,227,731 &rarr; 4,229,362]	1632	+
TU0-14108	EG11922	[TU0-14108 4,231,359 &larr; 4,231,631]	273	-
TU0-14111	EG11923	[yjbE 4,235,906 &rarr; 4,236,148]	243	+
TU0-14287	EG11925 // EG11924 // EG11923 // EG11926	[yjbEFGH 4,235,906 &rarr; 4,239,730]	3825	+
TU0-36435	EG11925 // EG11924 // EG11923 // EG11926	[yjbEFGH 4,235,906 &rarr; 4,239,730]	3825	+
TU0-14112	EG11925 // EG11924 // EG11926	[TU0-14112 4,236,262 &rarr; 4,239,730]	3469	+
TU0-14114	EG11927	[TU0-14114 4,250,703 &rarr; 4,252,283]	1581	+
TU0-14116	EG11928	[TU0-14116 4,259,237 &rarr; 4,259,446]	210	+
TU0-14117	EG11931 // EG11930	[TU0-14117 4,260,321 &rarr; 4,261,306]	986	+
TU0-14122	EG11935 // EG11936	[yjbQR 4,270,238 &rarr; 4,271,014]	777	+
TU0-8608	EG11937	[yjcB 4,274,760 &larr; 4,275,041]	282	-
TU0-8609	EG11938	[yjcC 4,275,471 &rarr; 4,277,057]	1587	+
TU0-14124	EG11940	[TU0-14124 4,279,980 &rarr; 4,281,629]	1650	+
TU0-14125	EG11941	[TU0-14125 4,281,783 &larr; 4,283,075]	1293	-
TU0-14127	EG11951	[TU0-14127 4,296,436 &larr; 4,297,125]	690	-
